ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300244.SZ,2025-06-16,14.9,14.92,14.56,14.81,15.11,-0.3,-1.9854,170545.16,251892.978
300244.SZ,2025-06-17,14.86,15.11,14.59,14.72,14.81,-0.09,-0.6077,150476.0,222816.315
300244.SZ,2025-06-18,14.43,14.55,14.1,14.2,14.48,-0.28,-1.9337,142063.1,202341.218
300244.SZ,2025-06-19,14.18,14.25,13.75,13.81,14.2,-0.39,-2.7465,125416.0,175183.911
300244.SZ,2025-06-20,13.78,13.92,13.55,13.59,13.81,-0.22,-1.593,92011.13,125756.543
300244.SZ,2025-06-23,13.61,14.06,13.52,13.93,13.59,0.34,2.5018,105911.0,146580.5
300244.SZ,2025-06-24,13.91,14.2,13.88,14.16,13.93,0.23,1.6511,97049.0,136601.942
300244.SZ,2025-06-25,14.16,14.64,14.02,14.56,14.16,0.4,2.8249,179072.46,256687.761
300244.SZ,2025-06-26,14.69,15.01,14.44,14.45,14.56,-0.11,-0.7555,172993.57,254764.053
300244.SZ,2025-06-27,14.45,15.53,14.34,14.92,14.45,0.47,3.2526,319154.58,478809.327
300244.SZ,2025-06-30,14.84,14.98,14.69,14.9,14.92,-0.02,-0.134,221511.0,328480.774
300244.SZ,2025-07-01,14.97,15.26,14.78,14.98,14.9,0.08,0.5369,170366.45,255505.076
300244.SZ,2025-07-02,14.9,14.98,14.63,14.76,14.98,-0.22,-1.4686,133141.0,196521.703
300244.SZ,2025-07-03,14.7,14.79,14.61,14.65,14.76,-0.11,-0.7453,112351.0,164920.596
300244.SZ,2025-07-04,14.67,14.98,14.53,14.6,14.65,-0.05,-0.3413,153285.12,225610.632
300244.SZ,2025-07-07,14.53,14.92,14.43,14.5,14.6,-0.1,-0.6849,142369.0,208646.73
300244.SZ,2025-07-08,14.5,14.9,14.43,14.76,14.5,0.26,1.7931,186624.24,275447.454
300244.SZ,2025-07-09,14.7,15.12,14.65,14.76,14.76,0.0,0.0,163490.63,242681.184
300244.SZ,2025-07-10,14.72,15.23,14.6,14.82,14.76,0.06,0.4065,203376.57,303680.3
300244.SZ,2025-07-11,14.84,15.25,14.81,15.15,14.82,0.33,2.2267,238200.62,358796.918
300244.SZ,2025-07-14,15.24,15.28,14.83,14.91,15.15,-0.24,-1.5842,161207.47,241094.607
300244.SZ,2025-07-15,15.0,15.37,14.45,15.21,14.91,0.3,2.0121,342222.53,509791.631
300244.SZ,2025-07-16,15.15,15.3,14.96,15.19,15.21,-0.02,-0.1315,247049.03,373837.67
300244.SZ,2025-07-17,15.13,15.73,15.06,15.67,15.19,0.48,3.16,322426.57,497340.062
300244.SZ,2025-07-18,15.94,16.62,15.8,15.87,15.67,0.2,1.2763,478522.66,773478.599
300244.SZ,2025-07-21,15.96,16.43,15.62,16.03,15.87,0.16,1.0082,316662.84,507033.791
300244.SZ,2025-07-22,15.9,16.0,15.48,15.57,16.03,-0.46,-2.8696,281901.77,441740.016
