ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
00981.HK,2025-06-30,46.25,48.0,44.55,44.7,151060507,7006576128.0,-0.33
00981.HK,2025-07-02,45.15,45.4,43.15,43.55,89397299,3924170320.0,-2.57
00981.HK,2025-07-03,43.65,44.65,43.15,43.3,78532958,3435376576.0,-0.57
00981.HK,2025-07-04,43.1,44.8,41.5,43.95,124680391,5392124672.0,1.5
00981.HK,2025-07-07,44.3,45.0,43.7,44.3,58889473,2606606896.0,0.8
00981.HK,2025-07-08,44.65,45.9,44.45,45.65,68833165,3113078992.0,3.05
00981.HK,2025-07-09,45.65,45.7,44.4,44.65,48918407,2196646176.0,-2.19
00981.HK,2025-07-10,44.75,45.4,44.5,44.95,39808214,1792304272.0,0.67
00981.HK,2025-07-11,44.75,46.85,44.75,45.95,83344868,3852759760.0,2.22
00981.HK,2025-07-14,46.2,47.0,45.7,46.45,54314874,2528363664.0,1.09
00981.HK,2025-07-15,46.4,47.1,44.9,45.6,92558441,4218269472.0,-1.83
00981.HK,2025-07-16,45.35,46.45,44.55,45.4,58314723,2664586784.0,-0.44
00981.HK,2025-07-17,45.6,46.55,45.15,46.3,56836441,2623705424.0,1.98
00981.HK,2025-07-18,46.7,47.35,45.95,47.1,63008978,2951468496.0,1.73
00981.HK,2025-07-21,47.45,48.0,46.6,47.25,57525367,2723930176.0,0.32
00981.HK,2025-07-22,47.5,49.2,47.1,48.55,101030803,4899480320.0,2.75
00981.HK,2025-07-23,49.25,49.3,47.9,48.75,72702914,3538326640.0,0.41
00981.HK,2025-07-24,48.95,51.6,48.75,50.25,139872459,7048749824.0,3.08
00981.HK,2025-07-25,50.4,53.8,50.2,52.75,145837338,7590908416.0,4.98
00981.HK,2025-07-28,53.55,53.55,52.0,53.1,81890865,4324208896.0,0.66
00981.HK,2025-07-29,53.1,53.45,51.55,53.35,67956748,3570411344.0,0.47
00981.HK,2025-07-30,52.65,52.65,50.0,50.2,118943656,6064938496.0,-5.9
00981.HK,2025-07-31,50.0,52.95,49.1,51.1,104907136,5389700352.0,1.79
00981.HK,2025-08-01,51.1,52.3,49.9,50.05,65840725,3339652384.0,-2.05
00981.HK,2025-08-04,49.8,51.75,49.8,51.5,53873828,2762951744.0,2.9
00981.HK,2025-08-05,51.6,52.7,50.5,51.0,69595649,3598089024.0,-0.97
00981.HK,2025-08-06,51.25,52.95,50.5,52.6,72245201,3752208336.0,3.14
00981.HK,2025-08-07,52.55,54.7,51.85,53.0,90416223,4817905664.0,0.76
00981.HK,2025-08-08,51.0,51.3,48.5,48.66,218640904,10862437888.0,-8.19
00981.HK,2025-08-11,49.04,49.24,47.14,48.7,109296429,5252424960.0,0.08
00981.HK,2025-08-12,48.86,51.55,48.2,51.15,112240544,5643214336.0,5.03
00981.HK,2025-08-13,51.25,52.1,50.95,52.05,83959625,4338376448.0,1.76
00981.HK,2025-08-14,52.5,54.4,51.85,52.0,115170190,6115398912.0,-0.1
00981.HK,2025-08-15,51.75,53.2,51.45,52.75,80095392,4198116128.0,1.44
00981.HK,2025-08-18,53.5,53.8,51.75,51.8,80816682,4240548944.0,-1.8
00981.HK,2025-08-19,51.85,52.15,49.66,50.05,77786478,3938378224.0,-3.38
00981.HK,2025-08-20,49.5,52.55,49.4,51.75,106235006,5415142912.0,3.4
00981.HK,2025-08-21,51.85,53.05,50.9,51.7,67561130,3500967472.0,-0.1
00981.HK,2025-08-22,52.85,57.5,52.7,56.9,296455104,16408960000.0,10.06
00981.HK,2025-08-25,58.45,61.75,56.0,57.8,235311070,13797807872.0,1.58
00981.HK,2025-08-26,57.0,57.45,55.4,56.2,104068446,5861733888.0,-2.77
00981.HK,2025-08-27,57.0,60.3,55.75,56.25,221959736,12950278912.0,0.09
00981.HK,2025-08-28,57.0,62.8,56.65,62.3,328184512,19836412160.0,10.76
00981.HK,2025-08-29,62.25,62.25,59.9,60.7,138500782,8421519616.0,-2.57
00981.HK,2025-09-01,64.75,65.65,60.55,63.65,188898351,11900231424.0,4.86
00981.HK,2025-09-02,63.8,64.1,58.75,60.7,189292322,11551325952.0,-4.63
00981.HK,2025-09-03,61.85,62.1,59.35,60.0,81425532,4921642240.0,-1.15
00981.HK,2025-09-04,60.2,60.8,55.35,56.0,187841288,10686938112.0,-6.67
00981.HK,2025-09-05,56.8,60.2,56.3,58.7,158505131,9247560448.0,4.82
00981.HK,2025-09-08,58.7,58.8,56.65,58.15,97043391,5587725824.0,-0.94
00981.HK,2025-09-09,58.0,60.65,56.0,58.25,120101934,7076891648.0,0.17
00981.HK,2025-09-10,58.7,60.95,58.7,60.35,90346929,5418157312.0,3.61
00981.HK,2025-09-11,60.1,64.45,59.4,63.35,134823644,8470709504.0,4.97
00981.HK,2025-09-12,64.2,65.0,62.1,62.75,103139295,6551506944.0,-0.95
00981.HK,2025-09-15,63.65,64.5,62.55,63.0,64804768,4105909632.0,0.4
00981.HK,2025-09-16,63.1,64.2,61.95,63.2,76132007,4815565312.0,0.32
00981.HK,2025-09-17,64.3,67.8,63.7,67.7,169646110,11267084032.0,7.12
00981.HK,2025-09-18,68.55,73.3,67.7,69.5,243974812,17235177216.0,2.66
00981.HK,2025-09-19,71.1,72.5,68.65,69.75,151250095,10678918144.0,0.36
00981.HK,2025-09-22,69.75,74.05,69.05,73.35,136569630,9878454016.0,5.16
00981.HK,2025-09-23,74.05,74.7,70.25,72.6,135366490,9766187520.0,-1.02
00981.HK,2025-09-24,72.8,78.25,72.15,76.75,150321829,11402209024.0,5.72
00981.HK,2025-09-25,77.2,78.8,75.2,76.8,114883313,8861911552.0,0.07
00981.HK,2025-09-26,75.9,77.8,72.2,72.95,141599380,10641068544.0,-5.01
00981.HK,2025-09-29,74.0,76.5,73.1,76.5,106533474,7973807104.0,4.87
00981.HK,2025-09-30,77.5,79.95,77.5,79.55,115419312,9114340608.0,3.99
