日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-06-21,4.689,4.7,4.736,4.668,4492631,2297972208.0,1.44,-0.15,-0.007,1.66
2021-06-22,4.721,4.726,4.732,4.692,6783142,3481237664.0,0.85,0.55,0.026,2.5
2021-06-23,4.733,4.757,4.784,4.717,5864652,3034353440.0,1.42,0.66,0.031,2.17
2021-06-24,4.761,4.77,4.771,4.736,2175097,1125515424.0,0.74,0.27,0.013,0.8
2021-06-25,4.774,4.851,4.87,4.772,6192587,3253306016.0,2.05,1.7,0.081,2.29
2021-06-28,4.859,4.86,4.871,4.838,4454965,2349760656.0,0.68,0.19,0.009,1.64
2021-06-29,4.86,4.806,4.86,4.796,2901856,1520211072.0,1.32,-1.11,-0.054,1.07
2021-06-30,4.807,4.837,4.848,4.806,3711710,1948238480.0,0.87,0.65,0.031,1.37
2021-07-01,4.854,4.835,4.865,4.803,5643739,2964560976.0,1.28,-0.04,-0.002,2.08
2021-07-02,4.801,4.694,4.803,4.692,4422360,2278045472.0,2.3,-2.92,-0.141,1.63
2021-07-05,4.694,4.701,4.713,4.671,2575703,1316062240.0,0.89,0.15,0.007,0.95
2021-07-06,4.701,4.708,4.711,4.652,3816887,1946038944.0,1.26,0.15,0.007,1.41
2021-07-07,4.686,4.761,4.783,4.678,3494651,1802156512.0,2.23,1.13,0.053,1.29
2021-07-08,4.77,4.717,4.777,4.702,3280350,1689688928.0,1.58,-0.92,-0.044,1.21
2021-07-09,4.701,4.693,4.709,4.637,4262319,2174685024.0,1.53,-0.51,-0.024,1.57
2021-07-12,4.731,4.761,4.79,4.703,5966929,3088418560.0,1.85,1.45,0.068,2.2
2021-07-13,4.76,4.777,4.795,4.749,3464404,1798359504.0,0.97,0.34,0.016,1.28
2021-07-14,4.772,4.72,4.772,4.709,3824693,1970051840.0,1.32,-1.19,-0.057,1.41
2021-07-15,4.712,4.788,4.795,4.705,3552867,1839020768.0,1.91,1.44,0.068,1.31
2021-07-16,4.781,4.737,4.786,4.733,3702352,1916254592.0,1.11,-1.07,-0.051,1.37
2021-07-19,4.728,4.759,4.769,4.687,3320462,1709347744.0,1.73,0.46,0.022,1.23
2021-07-20,4.721,4.746,4.76,4.712,3066793,1581145200.0,1.01,-0.27,-0.013,1.13
2021-07-21,4.761,4.785,4.806,4.753,5784303,3011038368.0,1.12,0.82,0.039,2.14
2021-07-22,4.786,4.79,4.814,4.779,2696841,1405906240.0,0.73,0.1,0.005,1.0
2021-07-23,4.791,4.738,4.792,4.726,2681441,1384583056.0,1.38,-1.09,-0.052,0.99
2021-07-26,4.718,4.563,4.719,4.504,9152734,4590557952.0,4.54,-3.69,-0.175,3.38
2021-07-27,4.56,4.39,4.581,4.384,8072052,3972490928.0,4.32,-3.79,-0.173,2.98
2021-07-28,4.384,4.4,4.424,4.316,9133473,4378815488.0,2.46,0.23,0.01,3.37
2021-07-29,4.48,4.487,4.498,4.439,6402064,3130337232.0,1.34,1.98,0.087,2.36
2021-07-30,4.464,4.453,4.465,4.402,2258702,1097220224.0,1.4,-0.76,-0.034,0.83
2021-08-02,4.437,4.574,4.585,4.405,3752039,1853444880.0,4.04,2.72,0.121,1.39
2021-08-03,4.552,4.576,4.6,4.536,2330098,1161609440.0,1.4,0.04,0.002,0.86
2021-08-04,4.565,4.62,4.621,4.563,2486453,1248682992.0,1.27,0.96,0.044,0.92
2021-08-05,4.585,4.59,4.639,4.562,2098716,1053873952.0,1.67,-0.65,-0.03,0.77
