日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-06-21,5.108,5.119,5.155,5.087,4492631,2297972208.0,1.33,-0.14,-0.007,1.66
2021-06-22,5.14,5.145,5.151,5.111,6783142,3481237664.0,0.78,0.51,0.026,2.5
2021-06-23,5.152,5.176,5.203,5.136,5864652,3034353440.0,1.3,0.6,0.031,2.17
2021-06-24,5.18,5.189,5.19,5.155,2175097,1125515424.0,0.68,0.25,0.013,0.8
2021-06-25,5.193,5.27,5.289,5.191,6192587,3253306016.0,1.89,1.56,0.081,2.29
2021-06-28,5.278,5.279,5.29,5.257,4454965,2349760656.0,0.63,0.17,0.009,1.64
2021-06-29,5.279,5.225,5.279,5.215,2901856,1520211072.0,1.21,-1.02,-0.054,1.07
2021-06-30,5.226,5.256,5.267,5.225,3711710,1948238480.0,0.8,0.59,0.031,1.37
2021-07-01,5.273,5.254,5.284,5.222,5643739,2964560976.0,1.18,-0.04,-0.002,2.08
2021-07-02,5.22,5.113,5.222,5.111,4422360,2278045472.0,2.11,-2.68,-0.141,1.63
2021-07-05,5.113,5.12,5.132,5.09,2575703,1316062240.0,0.82,0.14,0.007,0.95
2021-07-06,5.12,5.127,5.13,5.071,3816887,1946038944.0,1.15,0.14,0.007,1.41
2021-07-07,5.105,5.18,5.202,5.097,3494651,1802156512.0,2.05,1.03,0.053,1.29
2021-07-08,5.189,5.136,5.196,5.121,3280350,1689688928.0,1.45,-0.85,-0.044,1.21
2021-07-09,5.12,5.112,5.128,5.056,4262319,2174685024.0,1.4,-0.47,-0.024,1.57
2021-07-12,5.15,5.18,5.209,5.122,5966929,3088418560.0,1.7,1.33,0.068,2.2
2021-07-13,5.179,5.196,5.214,5.168,3464404,1798359504.0,0.89,0.31,0.016,1.28
2021-07-14,5.191,5.139,5.191,5.128,3824693,1970051840.0,1.21,-1.1,-0.057,1.41
2021-07-15,5.131,5.207,5.214,5.124,3552867,1839020768.0,1.75,1.32,0.068,1.31
2021-07-16,5.2,5.156,5.205,5.152,3702352,1916254592.0,1.02,-0.98,-0.051,1.37
2021-07-19,5.147,5.178,5.188,5.106,3320462,1709347744.0,1.59,0.43,0.022,1.23
2021-07-20,5.14,5.165,5.179,5.131,3066793,1581145200.0,0.93,-0.25,-0.013,1.13
2021-07-21,5.18,5.204,5.225,5.172,5784303,3011038368.0,1.03,0.76,0.039,2.14
2021-07-22,5.205,5.209,5.233,5.198,2696841,1405906240.0,0.67,0.1,0.005,1.0
2021-07-23,5.21,5.157,5.211,5.145,2681441,1384583056.0,1.27,-1.0,-0.052,0.99
2021-07-26,5.137,4.982,5.138,4.923,9152734,4590557952.0,4.17,-3.39,-0.175,3.38
2021-07-27,4.979,4.809,5.0,4.803,8072052,3972490928.0,3.95,-3.47,-0.173,2.98
2021-07-28,4.803,4.819,4.843,4.735,9133473,4378815488.0,2.25,0.21,0.01,3.37
2021-07-29,4.899,4.906,4.917,4.858,6402064,3130337232.0,1.22,1.81,0.087,2.36
2021-07-30,4.883,4.872,4.884,4.821,2258702,1097220224.0,1.28,-0.69,-0.034,0.83
2021-08-02,4.856,4.993,5.004,4.824,3752039,1853444880.0,3.69,2.48,0.121,1.39
2021-08-03,4.971,4.995,5.019,4.955,2330098,1161609440.0,1.28,0.04,0.002,0.86
