date_str,tushare_close,tushare_vol,tushare_amount,akshare_raw_close,akshare_raw_vol,akshare_raw_amount,akshare_qfq_close,akshare_qfq_vol,akshare_qfq_amount,yfinance_close,yfinance_volume
2021-06-21,5.119,4492630.5,2297972.209,5.119,4492631,2297972208.0,4.7,4492631,2297972208.0,4.631030559539795,449263050.0
2021-06-22,5.145,6783141.91,3481237.67,5.145,6783142,3481237664.0,4.726,6783142,3481237664.0,4.654551982879639,678314191.0
2021-06-23,5.176,5864652.23,3034353.444,5.176,5864652,3034353440.0,4.757,5864652,3034353440.0,4.6825971603393555,586465223.0
2021-06-24,5.189,2175097.08,1125515.428,5.189,2175097,1125515424.0,4.77,2175097,1125515424.0,4.6943583488464355,217509708.0
2021-06-25,5.27,6192586.62,3253306.021,5.27,6192587,3253306016.0,4.851,6192587,3253306016.0,4.767635822296143,619258662.0
2021-06-28,5.279,4454964.81,2349760.661,5.279,4454965,2349760656.0,4.86,4454965,2349760656.0,4.775778293609619,445496481.0
2021-06-29,5.225,2901856.47,1520211.071,5.225,2901856,1520211072.0,4.806,2901856,1520211072.0,4.726925849914551,290185647.0
2021-06-30,5.256,3711709.76,1948238.474,5.256,3711710,1948238480.0,4.837,3711710,1948238480.0,4.754971504211426,371170976.0
2021-07-01,5.254,5643738.63,2964560.981,5.254,5643739,2964560976.0,4.835,5643739,2964560976.0,4.753162384033203,564373863.0
2021-07-02,5.113,4422359.89,2278045.477,5.113,4422360,2278045472.0,4.694,4422360,2278045472.0,4.625602722167969,442235989.0
2021-07-05,5.12,2575703.13,1316062.245,5.12,2575703,1316062240.0,4.701,2575703,1316062240.0,4.631934642791748,257570313.0
2021-07-06,5.127,3816887.34,1946038.944,5.127,3816887,1946038944.0,4.708,3816887,1946038944.0,4.638267517089844,381688734.0
2021-07-07,5.18,3494651.34,1802156.519,5.18,3494651,1802156512.0,4.761,3494651,1802156512.0,4.686215877532959,349465134.0
2021-07-08,5.136,3280350.47,1689688.924,5.136,3280350,1689688928.0,4.717,3280350,1689688928.0,4.64640998840332,328035047.0
2021-07-09,5.112,4262319.21,2174685.021,5.112,4262319,2174685024.0,4.693,4262319,2174685024.0,4.624698162078857,426231921.0
2021-07-12,5.18,5966928.94,3088418.555,5.18,5966929,3088418560.0,4.761,5966929,3088418560.0,4.686215877532959,596692894.0
2021-07-13,5.196,3464403.64,1798359.498,5.196,3464404,1798359504.0,4.777,3464404,1798359504.0,4.700690269470215,346440364.0
2021-07-14,5.139,3824693.18,1970051.836,5.139,3824693,1970051840.0,4.72,3824693,1970051840.0,4.649123668670654,382469318.0
2021-07-15,5.207,3552866.95,1839020.775,5.207,3552867,1839020768.0,4.788,3552867,1839020768.0,4.710641860961914,355286695.0
2021-07-16,5.156,3702351.45,1916254.592,5.156,3702352,1916254592.0,4.737,3702352,1916254592.0,4.664503574371338,370235145.0
2021-07-19,5.178,3320461.58,1709347.745,5.178,3320462,1709347744.0,4.759,3320462,1709347744.0,4.684406280517578,332046158.0
2021-07-20,5.165,3066793.27,1581145.2,5.165,3066793,1581145200.0,4.746,3066793,1581145200.0,4.672645568847656,306679327.0
2021-07-21,5.204,5784302.57,3011038.37,5.204,5784303,3011038368.0,4.785,5784303,3011038368.0,4.70792818069458,578430257.0
2021-07-22,5.209,2696840.73,1405906.247,5.209,2696841,1405906240.0,4.79,2696841,1405906240.0,4.712451457977295,269684073.0
2021-07-23,5.157,2681441.35,1384583.057,5.157,2681441,1384583056.0,4.738,2681441,1384583056.0,4.665407657623291,268144135.0
2021-07-26,4.982,9152733.74,4590557.872,4.982,9152734,4590557952.0,4.563,9152734,4590557952.0,4.507090091705322,915273374.0
2021-07-27,4.809,8072052.16,3972490.92,4.809,8072052,3972490928.0,4.39,8072052,3972490928.0,4.350581169128418,807205216.0
2021-07-28,4.819,9133473.42,4378815.46,4.819,9133473,4378815488.0,4.4,9133473,4378815488.0,4.359628200531006,913347342.0
2021-07-29,4.906,6402063.55,3130337.228,4.906,6402064,3130337232.0,4.487,6402064,3130337232.0,4.438334941864014,640206355.0
2021-07-30,4.872,2258702.35,1097220.227,4.872,2258702,1097220224.0,4.453,2258702,1097220224.0,4.407576084136963,225870235.0
2021-08-02,4.993,3752039.41,1853444.876,4.993,3752039,1853444880.0,4.574,3752039,1853444880.0,4.51704216003418,375203941.0
2021-08-03,4.995,2330097.64,1161609.447,4.995,2330098,1161609440.0,4.576,2330098,1161609440.0,4.518850326538086,233009764.0
2021-08-04,5.039,2486452.87,1248682.987,5.039,2486453,1248682992.0,4.62,2486453,1248682992.0,4.558657169342041,248645287.0
2021-08-05,5.009,2098716.49,1053873.944,5.009,2098716,1053873952.0,4.59,2098716,1053873952.0,4.5315165519714355,209871649.0
2021-08-06,4.993,1126992.04,561475.942,4.993,1126992,561475936.0,4.574,1126992,561475936.0,4.51704216003418,112699204.0
2021-08-09,5.048,2290906.28,1151898.657,5.048,2290906,1151898656.0,4.629,2290906,1151898656.0,4.566798686981201,229090628.0
2021-08-10,5.105,3241223.81,1635519.3,5.105,3241224,1635519296.0,4.686,3241224,1635519296.0,4.6183648109436035,324122381.0
2021-08-11,5.078,2391296.0,1219614.186,5.078,2391296,1219614192.0,4.659,2391296,1219614192.0,4.593938827514648,239129600.0
2021-08-12,5.046,1339716.95,677135.203,5.046,1339717,677135200.0,4.627,1339717,677135200.0,4.56498908996582,133971695.0
2021-08-13,5.019,2025664.01,1017354.166,5.019,2025664,1017354160.0,4.6,2025664,1017354160.0,4.540563106536865,202566401.0
2021-08-16,5.016,1862036.29,934436.575,5.016,1862036,934436576.0,4.597,1862036,934436576.0,4.537848949432373,186203629.0
2021-08-17,4.904,3523008.96,1751144.106,4.904,3523009,1751144112.0,4.485,3523009,1751144112.0,4.436524868011475,352300896.0
2021-08-18,4.957,3847710.32,1901295.854,4.957,3847710,1901295856.0,4.538,3847710,1901295856.0,4.48447322845459,384771032.0
2021-08-19,4.923,2403110.0,1185219.027,4.923,2403110,1185219024.0,4.504,2403110,1185219024.0,4.453714370727539,240311000.0
2021-08-20,4.833,4184413.4,2023086.385,4.833,4184413,2023086384.0,4.414,4184413,2023086384.0,4.372293949127197,418441340.0
2021-08-23,4.905,3529612.61,1724629.446,4.905,3529613,1724629440.0,4.486,3529613,1724629440.0,4.437430381774902,352961261.0
2021-08-24,4.957,3177054.13,1571638.429,4.957,3177054,1571638432.0,4.538,3177054,1571638432.0,4.48447322845459,317705413.0
2021-08-25,4.971,2076564.06,1029752.682,4.971,2076564,1029752688.0,4.552,2076564,1029752688.0,4.497138977050781,207656406.0
2021-08-26,4.886,1948402.59,956302.469,4.886,1948403,956302464.0,4.467,1948403,956302464.0,4.420241832733154,194840259.0
2021-08-27,4.899,2322364.14,1140911.545,4.899,2322364,1140911552.0,4.48,2322364,1140911552.0,4.432002544403076,232236414.0
2021-08-30,4.881,2155322.11,1052155.091,4.881,2155322,1052155088.0,4.462,2155322,1052155088.0,4.415718078613281,215532211.0
2021-08-31,4.879,2450326.07,1190430.817,4.879,2450326,1190430816.0,4.46,2450326,1190430816.0,4.413908958435059,245032607.0
2021-09-01,4.949,3865182.69,1903964.598,4.949,3865183,1903964592.0,4.53,3865183,1903964592.0,4.477235317230225,386518269.0
2021-09-02,4.945,2240048.34,1107121.906,4.945,2240048,1107121904.0,4.526,2240048,1107121904.0,4.473617076873779,224004834.0
